Contributor,Arms,Times,Volume,Experiment,Study,ID,Tumor,Disease_Type,Body_Weight,Matched_Controls
Synthetic_Set_1,Control,17,1417.567,EXP,EXP_2,Model2_378,Model2,Synthetic Models,14.82,Treatment_A_Control_8
Synthetic_Set_1,Control,21,1856.891,EXP,EXP_2,Model2_378,Model2,Synthetic Models,14.29,Treatment_A_Control_8
Synthetic_Set_1,Treatment_A,0,189.567,EXP,EXP_2,Model2_380,Model2,Synthetic Models,15.09,Treatment_A_Control_7
Synthetic_Set_1,Treatment_A,3,249.234,EXP,EXP_2,Model2_380,Model2,Synthetic Models,14.87,Treatment_A_Control_7
Synthetic_Set_1,Treatment_A,7,365.891,EXP,EXP_2,Model2_380,Model2,Synthetic Models,14.56,Treatment_A_Control_7
Synthetic_Set_1,Treatment_A,10,350.234,EXP,EXP_2,Model2_380,Model2,Synthetic Models,14.94,Treatment_A_Control_7
Synthetic_Set_1,Treatment_A,14,406.567,EXP,EXP_2,Model2_380,Model2,Synthetic Models,14.58,Treatment_A_Control_7
Synthetic_Set_1,Treatment_A,17,360.891,EXP,EXP_2,Model2_380,Model2,Synthetic Models,14.11,Treatment_A_Control_7
Synthetic_Set_1,Treatment_A,21,480.234,EXP,EXP_2,Model2_380,Model2,Synthetic Models,13.95,Treatment_A_Control_7
Synthetic_Set_1,Treatment_A,0,242.234,EXP,EXP_2,Model2_381,Model2,Synthetic Models,16.45,Treatment_A_Control_8
Synthetic_Set_1,Treatment_A,3,497.567,EXP,EXP_2,Model2_381,Model2,Synthetic Models,16.89,Treatment_A_Control_8
Synthetic_Set_1,Treatment_A,7,682.891,EXP,EXP_2,Model2_381,Model2,Synthetic Models,16.34,Treatment_A_Control_8
Synthetic_Set_1,Treatment_A,10,798.234,EXP,EXP_2,Model2_381,Model2,Synthetic Models,16.48,Treatment_A_Control_8
Synthetic_Set_1,Treatment_A,14,831.567,EXP,EXP_2,Model2_381,Model2,Synthetic Models,16.42,Treatment_A_Control_8
Synthetic_Set_1,Treatment_A,17,767.891,EXP,EXP_2,Model2_381,Model2,Synthetic Models,15.58,Treatment_A_Control_8
Synthetic_Set_1,Treatment_A,21,813.234,EXP,EXP_2,Model2_381,Model2,Synthetic Models,15.31,Treatment_A_Control_8
Synthetic_Set_1,Control,0,273.567,EXP,EXP_2,Model2_382,Model2,Synthetic Models,16.78,Treatment_A_Control_9
Synthetic_Set_1,Control,3,456.891,EXP,EXP_2,Model2_382,Model2,Synthetic Models,17.23,Treatment_A_Control_9
Synthetic_Set_1,Control,7,518.234,EXP,EXP_2,Model2_382,Model2,Synthetic Models,17.34,Treatment_A_Control_9
Synthetic_Set_1,Control,10,754.567,EXP,EXP_2,Model2_382,Model2,Synthetic Models,16.45,Treatment_A_Control_9
Synthetic_Set_1,Control,14,685.891,EXP,EXP_2,Model2_382,Model2,Synthetic Models,15.58,Treatment_A_Control_9
Synthetic_Set_1,Control,17,630.234,EXP,EXP_2,Model2_382,Model2,Synthetic Models,14.98,Treatment_A_Control_9
Synthetic_Set_1,Control,21,892.567,EXP,EXP_2,Model2_382,Model2,Synthetic Models,14.78,Treatment_A_Control_9
Synthetic_Set_1,Control,0,506.234,EXP,EXP_2,Model2_383,Model2,Synthetic Models,16.09,Treatment_A_Control_10
Synthetic_Set_1,Control,3,790.567,EXP,EXP_2,Model2_383,Model2,Synthetic Models,16.15,Treatment_A_Control_10
Synthetic_Set_1,Control,7,1062.891,EXP,EXP_2,Model2_383,Model2,Synthetic Models,15.38,Treatment_A_Control_10
Synthetic_Set_1,Control,10,1301.234,EXP,EXP_2,Model2_383,Model2,Synthetic Models,15.18,Treatment_A_Control_10
Synthetic_Set_1,Control,14,1463.567,EXP,EXP_2,Model2_383,Model2,Synthetic Models,14.98,Treatment_A_Control_10
Synthetic_Set_1,Control,17,1815.891,EXP,EXP_2,Model2_383,Model2,Synthetic Models,14.51,Treatment_A_Control_10
Synthetic_Set_1,Control,21,1976.234,EXP,EXP_2,Model2_383,Model2,Synthetic Models,14.13,Treatment_A_Control_10
Synthetic_Set_1,Treatment_B,0,167.234,EXP,EXP_3,Model3_751,Model3,Synthetic Models,17.12,Treatment_B_Control_1
Synthetic_Set_1,Treatment_B,4,186.567,EXP,EXP_3,Model3_751,Model3,Synthetic Models,16.45,Treatment_B_Control_1
Synthetic_Set_1,Treatment_B,7,263.891,EXP,EXP_3,Model3_751,Model3,Synthetic Models,16.09,Treatment_B_Control_1
Synthetic_Set_1,Treatment_B,11,509.234,EXP,EXP_3,Model3_751,Model3,Synthetic Models,15.43,Treatment_B_Control_1
Synthetic_Set_1,Treatment_B,14,910.567,EXP,EXP_3,Model3_751,Model3,Synthetic Models,14.98,Treatment_B_Control_1
Synthetic_Set_1,Treatment_B,18,1695.891,EXP,EXP_3,Model3_751,Model3,Synthetic Models,14.83,Treatment_B_Control_1
Synthetic_Set_1,Control,0,340.234,EXP,EXP_3,Model3_755,Model3,Synthetic Models,17.12,Treatment_B_Control_2
Synthetic_Set_1,Control,4,564.567,EXP,EXP_3,Model3_755,Model3,Synthetic Models,17.34,Treatment_B_Control_2
Synthetic_Set_1,Control,7,1109.891,EXP,EXP_3,Model3_755,Model3,Synthetic Models,16.89,Treatment_B_Control_2
Synthetic_Set_1,Control,11,1668.234,EXP,EXP_3,Model3_755,Model3,Synthetic Models,15.96,Treatment_B_Control_2
Synthetic_Set_1,Control,14,3156.567,EXP,EXP_3,Model3_755,Model3,Synthetic Models,15.13,Treatment_B_Control_2
Synthetic_Set_1,Control,18,4719.891,EXP,EXP_3,Model3_755,Model3,Synthetic Models,14.89,Treatment_B_Control_2
Synthetic_Set_1,Treatment_B,0,184.567,EXP,EXP_3,Model3_760,Model3,Synthetic Models,15.71,Treatment_B_Control_3
Synthetic_Set_1,Treatment_B,4,192.234,EXP,EXP_3,Model3_760,Model3,Synthetic Models,15.49,Treatment_B_Control_3
Synthetic_Set_1,Treatment_B,7,181.891,EXP,EXP_3,Model3_760,Model3,Synthetic Models,15.36,Treatment_B_Control_3
Synthetic_Set_1,Treatment_B,11,143.567,EXP,EXP_3,Model3_760,Model3,Synthetic Models,14.89,Treatment_B_Control_3
Synthetic_Set_1,Treatment_B,14,162.891,EXP,EXP_3,Model3_760,Model3,Synthetic Models,14.45,Treatment_B_Control_3
Synthetic_Set_1,Treatment_B,18,230.567,EXP,EXP_3,Model3_760,Model3,Synthetic Models,14.05,Treatment_B_Control_3
Synthetic_Set_1,Treatment_B,21,170.234,EXP,EXP_3,Model3_760,Model3,Synthetic Models,13.78,Treatment_B_Control_3
Synthetic_Set_1,Treatment_B,0,284.567,EXP,EXP_3,Model3_761,Model3,Synthetic Models,16.41,Treatment_B_Control_1
Synthetic_Set_1,Treatment_B,4,359.891,EXP,EXP_3,Model3_761,Model3,Synthetic Models,16.06,Treatment_B_Control_1
Synthetic_Set_1,Treatment_B,7,538.234,EXP,EXP_3,Model3_761,Model3,Synthetic Models,15.34,Treatment_B_Control_1
Synthetic_Set_1,Treatment_B,11,542.567,EXP,EXP_3,Model3_761,Model3,Synthetic Models,15.22,Treatment_B_Control_1
Synthetic_Set_1,Treatment_B,14,553.891,EXP,EXP_3,Model3_761,Model3,Synthetic Models,15.07,Treatment_B_Control_1
Synthetic_Set_1,Treatment_B,18,604.234,EXP,EXP_3,Model3_761,Model3,Synthetic Models,14.58,Treatment_B_Control_1
Synthetic_Set_1,Treatment_B,21,449.567,EXP,EXP_3,Model3_761,Model3,Synthetic Models,14.07,Treatment_B_Control_1
Synthetic_Set_1,Treatment_C,0,228.567,EXP,EXP_4,Model4_353,Model4,Synthetic Models,17.67,Treatment_C_Control_1
Synthetic_Set_1,Treatment_C,3,427.891,EXP,EXP_4,Model4_353,Model4,Synthetic Models,17.45,Treatment_C_Control_1
Synthetic_Set_1,Treatment_C,7,446.234,EXP,EXP_4,Model4_353,Model4,Synthetic Models,17.03,Treatment_C_Control_1
Synthetic_Set_1,Treatment_C,10,185.567,EXP,EXP_4,Model4_353,Model4,Synthetic Models,16.24,Treatment_C_Control_1
Synthetic_Set_1,Treatment_C,14,95.234,EXP,EXP_4,Model4_353,Model4,Synthetic Models,14.94,Treatment_C_Control_1
Synthetic_Set_1,Treatment_C,17,64.325,EXP,EXP_4,Model4_353,Model4,Synthetic Models,14.98,Treatment_C_Control_1
Synthetic_Set_1,Treatment_C,21,42.178,EXP,EXP_4,Model4_353,Model4,Synthetic Models,14.71,Treatment_C_Control_1
Synthetic_Set_1,Treatment_C,24,39.567,EXP,EXP_4,Model4_353,Model4,Synthetic Models,14.05,Treatment_C_Control_1
Synthetic_Set_1,Control,0,362.234,EXP,EXP_4,Model4_356,Model4,Synthetic Models,15.43,Treatment_C_Control_2
Synthetic_Set_1,Control,3,649.567,EXP,EXP_4,Model4_356,Model4,Synthetic Models,15.63,Treatment_C_Control_2
Synthetic_Set_1,Control,7,1035.891,EXP,EXP_4,Model4_356,Model4,Synthetic Models,15.14,Treatment_C_Control_2
Synthetic_Set_1,Control,10,1092.234,EXP,EXP_4,Model4_356,Model4,Synthetic Models,15.22,Treatment_C_Control_2
Synthetic_Set_1,Control,14,1468.567,EXP,EXP_4,Model4_356,Model4,Synthetic Models,14.51,Treatment_C_Control_2
Synthetic_Set_1,Control,17,1561.891,EXP,EXP_4,Model4_356,Model4,Synthetic Models,14.18,Treatment_C_Control_2
Synthetic_Set_1,Control,21,2058.234,EXP,EXP_4,Model4_356,Model4,Synthetic Models,13.92,Treatment_C_Control_2
Synthetic_Set_1,Control,24,1886.567,EXP,EXP_4,Model4_356,Model4,Synthetic Models,13.38,Treatment_C_Control_2
Synthetic_Set_1,Treatment_C,0,263.891,EXP,EXP_4,Model4_357,Model4,Synthetic Models,16.26,Treatment_C_Control_2
Synthetic_Set_1,Treatment_C,3,218.234,EXP,EXP_4,Model4_357,Model4,Synthetic Models,16.18,Treatment_C_Control_2
Synthetic_Set_1,Treatment_C,7,219.567,EXP,EXP_4,Model4_357,Model4,Synthetic Models,15.61,Treatment_C_Control_2
Synthetic_Set_1,Treatment_C,10,63.584,EXP,EXP_4,Model4_357,Model4,Synthetic Models,15.38,Treatment_C_Control_2
Synthetic_Set_1,Treatment_C,14,40.234,EXP,EXP_4,Model4_357,Model4,Synthetic Models,14.67,Treatment_C_Control_2
Synthetic_Set_1,Treatment_C,17,40.418,EXP,EXP_4,Model4_357,Model4,Synthetic Models,13.76,Treatment_C_Control_2
Synthetic_Set_1,Treatment_C,21,17.591,EXP,EXP_4,Model4_357,Model4,Synthetic Models,13.72,Treatment_C_Control_2
Synthetic_Set_1,Treatment_C,24,17.591,EXP,EXP_4,Model4_357,Model4,Synthetic Models,13.71,Treatment_C_Control_2
